,F1014anonym,F1014C1,F1014C2,F1014C3,F1014C4,F1014C5,F1014C6,F1014C7,F1014C8,F1014C9,F1014C10
2722,Nichts,,,,,,,,,,
2723,Nichts,,,,,,,,,,
2724,Nichts,,,,,,,,,,
2725,Nichts,,,,,,,,,,
2726,Nichts,,,,,,,,,,
2727,Nichts,,,,,,,,,,
2728,Nichts,,,,,,,,,,
2729,Nichts,,,,,,,,,,
2730,Nichts,,,,,,,,,,
2732,Nichts,,,,,,,,,,
2733,—-,,,,,,,,,,
2734,Nichts,,,,,,,,,,
2735,Nichts,,,,,,,,,,
2736,Nichts,,,,,,,,,,
2737,Nichts,,,,,,,,,,
2738,Nichts,,,,,,,,,,
2739,Nichts,Nichts,,,,,,,,,
2740,Nichts,,,,,,,,,,
2741,Nichts,,,,,,,,,,
2742,Nichts,,,,,,,,,,
2743,Nichts,,,,,,,,,,
2744,Nichts,,,,,,,,,,
2745,Nichts,Nichts,,,,,,,,,
2746,Nichts,,,,,,,,,,
2747,Nichts,,,,,,,,,,
2748,Nichts,,,,,,,,,,
2749,Nichts,,,,,,,,,,
2750,Kein Interesse bei den Kollegen,kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),,,,,,,,,
2751,Nichts,,,,,,,,,,
2752,Nichts,,,,,,,,,,
2753,Nichts,,,,,,,,,,
2754,Nichts,,,,,,,,,,
2755,Nichts,,,,,,,,,,
2756,Nichts,Nichts,,,,,,,,,
2757,Nichts,,,,,,,,,,
2758,Nichts,,,,,,,,,,
2759,Nichts,,,,,,,,,,
2760,Unklarheiten bei der Verknüpfung von BAFANichtsFörderungNichts,Unklare Entscheidungsverfahren,,,,,,,,,
2761,Nichts,,,,,,,,,,
2762,Nichts,,,,,,,,,,
2764,Nichts,,,,,,,,,,
2765,Nichts,,,,,,,,,,
2766,Nichts,,,,,,,,,,
2767,Nichts,Nichts,,,,,,,,,
2768,Nichts,Nichts,,,,,,,,,
2769,"Ich würde niemanden die KFW empfehlen, der auf eine zügige Durchführung angewiesen ist oder mit einem sehr kleinen wirtschaftlichen SpielraNichts Die Auflagen halte ich zwar für sinnvoll NichtsB das ich EE brauche wenn ich die Förderung für eine Ladestation möchNichts) aber die Mehrkosten haben mich immer zögern lassNichts.",Lange Bearbeitungsdauer,unflexible Bedingungen,Höhe des Zuschusses nicht ausreichend,,,,,,,
2770,Nichts,,,,,,,,,,
2771,Nichts,,,,,,,,,,
2772,Nichts,,,,,,,,,,
2773,Nichts,,,,,,,,,,
2774,Nichts,,,,,,,,,,
2775,Nichts,Nichts,,,,,,,,,
2776,Nichts,,,,,,,,,,
2777,Nichts,,,,,,,,,,
2778,Nichts,,,,,,,,,,
2779,Nichts,,,,,,,,,,
2780,Nichts,,,,,,,,,,
2781,Nichts,Nichts,,,,,,,,,
2782,Nichts,,,,,,,,,,
2783,Nichts,,,,,,,,,,
2784,Nichts,,,,,,,,,,
2785,Nichts,Sonstiges,,,,,,,,,
2786,Nichts,,,,,,,,,,
2787,Nichts,,,,,,,,,,
2788,Nichts,,,,,,,,,,
2789,Nichts,Nichts,,,,,,,,,
2790,Nichts,,,,,,,,,,
2791,Nichts,,,,,,,,,,
2792,Nichts,Nichts,,,,,,,,,
2793,Nichts,,,,,,,,,,
2794,Nichts,,,,,,,,,,
2795,Nichts,,,,,,,,,,
2796,Nichts,,,,,,,,,,
2797,Nichts,,,,,,,,,,
2798,Nichts,,,,,,,,,,
2801,Nichts,,,,,,,,,,
2802,Nichts,Nichts,,,,,,,,,
2803,—-,,,,,,,,,,
2805,Nichts,,,,,,,,,,
2806,Nichts,,,,,,,,,,
2807,Nichts,,,,,,,,,,
2809,Nichts,,,,,,,,,,
2810,Nichts,,,,,,,,,,
2811,Nichts,Sonstiges,,,,,,,,,
2812,Nichts,Nichts,,,,,,,,,
2813,Nichts,,,,,,,,,,
2814,Nichts,Nichts,,,,,,,,,
2815,Nichts,,,,,,,,,,
2816,Nichts,,,,,,,,,,
