,F1014anonym,label_Abhängigkeit von der Bank,label_Aufwändige Beantragung,label_Enthaltung,label_Erreichbarkeit des Angebots (Serverausfall),label_Fördermittel (zu schnell) aufgebraucht,label_Höhe des Zuschusses nicht ausreichend,label_Kosten für Energieberater,label_Kosten-/Nutzenverhältnis,label_Lange Bearbeitungsdauer,label_Nichts,label_Sondertilgungen nicht möglich,label_Sonstiges,label_Unklare Entscheidungsverfahren,label_Zinsen,label_Zusätzliche Kosten bei Ausführung/ für Ingenieurleistungen,label_kein / unbekannter Bedarf (bei Bekannten / Gesprächspartnern),label_unflexible Bedingungen
2722,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2723,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2724,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2725,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2726,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2727,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2728,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2729,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2730,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2732,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2733,—-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2736,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2737,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2738,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2739,Nichts,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2740,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2741,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2742,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2743,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2744,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2745,Nichts,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2746,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2748,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2749,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,Kein Interesse bei den Kollegen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2751,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2752,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2753,Nichts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
